TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency,workflowRunId,workflowStepId
2026-04-13 03:24:17,1776050657911,portafolio-theta-seven-20.vercel.app/api/contact,POST,,500,gchdw-1776050657867-1d56b286ac12,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/contact,portafolio-theta-seven-20.vercel.app,portafolio-4zt4pstor-sam100uel-8918s-projects.vercel.app,dpl_3sjnRwCAvEguWMjtDBBoVHxRzkW9,,,,,"[api/contact][POST] MongoServerSelectionError: C0D8BB083A7F0000:error:0A000438:SSL routines:ssl3_read_bytes:tlsv1 alert internal error:ssl/record/rec_layer_s3.c:912:SSL alert number 80

    at async tM (.next/server/chunks/[root-of-the-server]__0-p7tya._.js:11:44381)
    at async c (.next/server/chunks/[root-of-the-server]__0-p7tya._.js:11:51276) {
  errorLabelSet: Set(0) {},
  reason: TopologyDescription {
    type: 'ReplicaSetNoPrimary',
    servers: Map(3) {
      'ac-pieovau-shard-00-01.1ygbuer.mongodb.net:27017' => [ServerDescription],
      'ac-pieovau-shard-00-02.1ygbuer.mongodb.net:27017' => [ServerDescription],
      'ac-pieovau-shard-00-00.1ygbuer.mongodb.net:27017' => [ServerDescription]
    },
    stale: false,
    compatible: true,
    heartbeatFrequencyMS: 10000,
    localThresholdMS: 15,
    setName: 'atlas-ngus5z-shard-0',
    maxElectionId: null,
    maxSetVersion: null,
    commonWireVersion: 0,
    logicalSessionTimeoutMinutes: null
  },
  code: undefined,
  [cause]: MongoNetworkError: C0D8BB083A7F0000:error:0A000438:SSL routines:ssl3_read_bytes:tlsv1 alert internal error:ssl/record/rec_layer_s3.c:912:SSL alert number 80
  
      at ignore-listed frames {
    errorLabelSet: Set(3) { 'SystemOverloadedError', 'RetryableError', 'ResetPool' },
    beforeHandshake: false,
    [cause]: [Error: C0D8BB083A7F0000:error:0A000438:SSL routines:ssl3_read_bytes:tlsv1 alert internal error:ssl/record/rec_layer_s3.c:912:SSL alert number 80
    ] {
      library: 'SSL routines',
      reason: 'tlsv1 alert internal error',
      code: 'ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR'
    }
  }
}",prj_cbb8w1zwmFELiW3ZOg750m5C8eMV,,,,,,,
2026-04-13 03:24:17,1776050657867,portafolio-theta-seven-20.vercel.app/api/contact,POST,,500,gchdw-1776050657867-1d56b286ac12,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",,production,main,MISS,function,/api/contact,portafolio-theta-seven-20.vercel.app,portafolio-4zt4pstor-sam100uel-8918s-projects.vercel.app,dpl_3sjnRwCAvEguWMjtDBBoVHxRzkW9,21,iad1,272,2048,,prj_cbb8w1zwmFELiW3ZOg750m5C8eMV,,,01KP2DWPJQW2J9BF8JJ6TMW9DQ,KJAXngqDfQex,1,,
2026-04-13 03:18:51,1776050331601,portafolio-theta-seven-20.vercel.app/api/contact,POST,,500,bdh6n-1776050331503-af0be32e4314,Mozilla/5.0 (Windows NT; Windows NT 10.0; es-CO) WindowsPowerShell/5.1.26100.7920,error,production,main,MISS,function,/api/contact,portafolio-theta-seven-20.vercel.app,portafolio-theta-seven-20.vercel.app,dpl_3sjnRwCAvEguWMjtDBBoVHxRzkW9,,,,,"[api/contact][POST] MongoServerSelectionError: C0D8BB083A7F0000:error:0A000438:SSL routines:ssl3_read_bytes:tlsv1 alert internal error:ssl/record/rec_layer_s3.c:912:SSL alert number 80

    at async tM (.next/server/chunks/[root-of-the-server]__0-p7tya._.js:11:44381)
    at async c (.next/server/chunks/[root-of-the-server]__0-p7tya._.js:11:51276) {
  errorLabelSet: Set(0) {},
  reason: TopologyDescription {
    type: 'ReplicaSetNoPrimary',
    servers: Map(3) {
      'ac-pieovau-shard-00-01.1ygbuer.mongodb.net:27017' => [ServerDescription],
      'ac-pieovau-shard-00-02.1ygbuer.mongodb.net:27017' => [ServerDescription],
      'ac-pieovau-shard-00-00.1ygbuer.mongodb.net:27017' => [ServerDescription]
    },
    stale: false,
    compatible: true,
    heartbeatFrequencyMS: 10000,
    localThresholdMS: 15,
    setName: 'atlas-ngus5z-shard-0',
    maxElectionId: null,
    maxSetVersion: null,
    commonWireVersion: 0,
    logicalSessionTimeoutMinutes: null
  },
  code: undefined,
  [cause]: MongoNetworkError: C0D8BB083A7F0000:error:0A000438:SSL routines:ssl3_read_bytes:tlsv1 alert internal error:ssl/record/rec_layer_s3.c:912:SSL alert number 80
  
      at ignore-listed frames {
    errorLabelSet: Set(3) { 'SystemOverloadedError', 'RetryableError', 'ResetPool' },
    beforeHandshake: false,
    [cause]: [Error: C0D8BB083A7F0000:error:0A000438:SSL routines:ssl3_read_bytes:tlsv1 alert internal error:ssl/record/rec_layer_s3.c:912:SSL alert number 80
    ] {
      library: 'SSL routines',
      reason: 'tlsv1 alert internal error',
      code: 'ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR'
    }
  }
}",prj_cbb8w1zwmFELiW3ZOg750m5C8eMV,,,,,,,
2026-04-13 03:18:51,1776050331503,portafolio-theta-seven-20.vercel.app/api/contact,POST,,500,bdh6n-1776050331503-af0be32e4314,Mozilla/5.0 (Windows NT; Windows NT 10.0; es-CO) WindowsPowerShell/5.1.26100.7920,,production,main,MISS,function,/api/contact,portafolio-theta-seven-20.vercel.app,portafolio-theta-seven-20.vercel.app,dpl_3sjnRwCAvEguWMjtDBBoVHxRzkW9,13,iad1,270,2048,,prj_cbb8w1zwmFELiW3ZOg750m5C8eMV,,,01KP2DJQXDFBNZBP42QMAPW8C3,KJAXngqDfQex,1,,
2026-04-13 03:16:17,1776050177409,portafolio-theta-seven-20.vercel.app/api/contact,POST,,500,kxpsf-1776050147115-0097ee65e7df,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 Edg/146.0.0.0",error,production,main,MISS,function,/api/contact,portafolio-theta-seven-20.vercel.app,portafolio-theta-seven-20.vercel.app,dpl_3sjnRwCAvEguWMjtDBBoVHxRzkW9,,,,,"[api/contact][POST] MongoServerSelectionError: C0D8BB083A7F0000:error:0A000438:SSL routines:ssl3_read_bytes:tlsv1 alert internal error:ssl/record/rec_layer_s3.c:912:SSL alert number 80

    at async tM (.next/server/chunks/[root-of-the-server]__0-p7tya._.js:11:44381)
    at async c (.next/server/chunks/[root-of-the-server]__0-p7tya._.js:11:51276) {
  errorLabelSet: Set(0) {},
  reason: TopologyDescription {
    type: 'ReplicaSetNoPrimary',
    servers: Map(3) {
      'ac-pieovau-shard-00-01.1ygbuer.mongodb.net:27017' => [ServerDescription],
      'ac-pieovau-shard-00-02.1ygbuer.mongodb.net:27017' => [ServerDescription],
      'ac-pieovau-shard-00-00.1ygbuer.mongodb.net:27017' => [ServerDescription]
    },
    stale: false,
    compatible: true,
    heartbeatFrequencyMS: 10000,
    localThresholdMS: 15,
    setName: 'atlas-ngus5z-shard-0',
    maxElectionId: null,
    maxSetVersion: null,
    commonWireVersion: 0,
    logicalSessionTimeoutMinutes: null
  },
  code: undefined,
  [cause]: MongoNetworkError: C0D8BB083A7F0000:error:0A000438:SSL routines:ssl3_read_bytes:tlsv1 alert internal error:ssl/record/rec_layer_s3.c:912:SSL alert number 80
  
      at ignore-listed frames {
    errorLabelSet: Set(3) { 'SystemOverloadedError', 'RetryableError', 'ResetPool' },
    beforeHandshake: false,
    [cause]: [Error: C0D8BB083A7F0000:error:0A000438:SSL routines:ssl3_read_bytes:tlsv1 alert internal error:ssl/record/rec_layer_s3.c:912:SSL alert number 80
    ] {
      library: 'SSL routines',
      reason: 'tlsv1 alert internal error',
      code: 'ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR'
    }
  }
}",prj_cbb8w1zwmFELiW3ZOg750m5C8eMV,,,,,,,
2026-04-13 03:15:47,1776050147115,portafolio-theta-seven-20.vercel.app/api/contact,POST,,500,kxpsf-1776050147115-0097ee65e7df,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 Edg/146.0.0.0",,production,main,MISS,function,/api/contact,portafolio-theta-seven-20.vercel.app,portafolio-theta-seven-20.vercel.app,dpl_3sjnRwCAvEguWMjtDBBoVHxRzkW9,30301,iad1,275,2048,,prj_cbb8w1zwmFELiW3ZOg750m5C8eMV,,,01KP2DD3SR47CDSBP2DY3X39E5,KJAXngqDfQex,1,,
2026-04-13 03:13:04,1776049984439,portafolio-theta-seven-20.vercel.app/api/contact,POST,,500,95gjx-1776049980545-1f04fb537050,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/contact,portafolio-theta-seven-20.vercel.app,portafolio-theta-seven-20.vercel.app,dpl_3sjnRwCAvEguWMjtDBBoVHxRzkW9,,,,,"[api/contact][POST] MongoServerSelectionError: C0F8638DCB7F0000:error:0A000438:SSL routines:ssl3_read_bytes:tlsv1 alert internal error:ssl/record/rec_layer_s3.c:912:SSL alert number 80

    at ignore-listed frames {
  errorLabelSet: Set(0) {},
  reason: TopologyDescription {
    type: 'ReplicaSetNoPrimary',
    servers: Map(3) {
      'ac-pieovau-shard-00-02.1ygbuer.mongodb.net:27017' => [ServerDescription],
      'ac-pieovau-shard-00-00.1ygbuer.mongodb.net:27017' => [ServerDescription],
      'ac-pieovau-shard-00-01.1ygbuer.mongodb.net:27017' => [ServerDescription]
    },
    stale: false,
    compatible: true,
    heartbeatFrequencyMS: 10000,
    localThresholdMS: 15,
    setName: 'atlas-ngus5z-shard-0',
    maxElectionId: null,
    maxSetVersion: null,
    commonWireVersion: 0,
    logicalSessionTimeoutMinutes: null
  },
  code: undefined,
  [cause]: MongoNetworkError: C0F8638DCB7F0000:error:0A000438:SSL routines:ssl3_read_bytes:tlsv1 alert internal error:ssl/record/rec_layer_s3.c:912:SSL alert number 80
  
      at ignore-listed frames {
    errorLabelSet: Set(3) { 'SystemOverloadedError', 'RetryableError', 'ResetPool' },
    beforeHandshake: false,
    [cause]: [Error: C0F8638DCB7F0000:error:0A000438:SSL routines:ssl3_read_bytes:tlsv1 alert internal error:ssl/record/rec_layer_s3.c:912:SSL alert number 80
    ] {
      library: 'SSL routines',
      reason: 'tlsv1 alert internal error',
      code: 'ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR'
    }
  }
}",prj_cbb8w1zwmFELiW3ZOg750m5C8eMV,,,,,,,
2026-04-13 03:13:00,1776049980545,portafolio-theta-seven-20.vercel.app/api/contact,POST,,500,95gjx-1776049980545-1f04fb537050,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36",,production,main,MISS,function,/api/contact,portafolio-theta-seven-20.vercel.app,portafolio-theta-seven-20.vercel.app,dpl_3sjnRwCAvEguWMjtDBBoVHxRzkW9,4067,iad1,288,2048,,prj_cbb8w1zwmFELiW3ZOg750m5C8eMV,,,01KP2D771VS6D7Q8W709APEHVD,bT9fkcyLJPRQ,3,,
2026-04-13 03:13:04,1776049984438,portafolio-theta-seven-20.vercel.app/api/contact,POST,,500,g7988-1776049977457-91937034a064,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 Edg/146.0.0.0",error,production,main,MISS,function,/api/contact,portafolio-theta-seven-20.vercel.app,portafolio-theta-seven-20.vercel.app,dpl_3sjnRwCAvEguWMjtDBBoVHxRzkW9,,,,,"[api/contact][POST] MongoServerSelectionError: C0F8638DCB7F0000:error:0A000438:SSL routines:ssl3_read_bytes:tlsv1 alert internal error:ssl/record/rec_layer_s3.c:912:SSL alert number 80

    at ignore-listed frames {
  errorLabelSet: Set(0) {},
  reason: TopologyDescription {
    type: 'ReplicaSetNoPrimary',
    servers: Map(3) {
      'ac-pieovau-shard-00-02.1ygbuer.mongodb.net:27017' => [ServerDescription],
      'ac-pieovau-shard-00-00.1ygbuer.mongodb.net:27017' => [ServerDescription],
      'ac-pieovau-shard-00-01.1ygbuer.mongodb.net:27017' => [ServerDescription]
    },
    stale: false,
    compatible: true,
    heartbeatFrequencyMS: 10000,
    localThresholdMS: 15,
    setName: 'atlas-ngus5z-shard-0',
    maxElectionId: null,
    maxSetVersion: null,
    commonWireVersion: 0,
    logicalSessionTimeoutMinutes: null
  },
  code: undefined,
  [cause]: MongoNetworkError: C0F8638DCB7F0000:error:0A000438:SSL routines:ssl3_read_bytes:tlsv1 alert internal error:ssl/record/rec_layer_s3.c:912:SSL alert number 80
  
      at ignore-listed frames {
    errorLabelSet: Set(3) { 'SystemOverloadedError', 'RetryableError', 'ResetPool' },
    beforeHandshake: false,
    [cause]: [Error: C0F8638DCB7F0000:error:0A000438:SSL routines:ssl3_read_bytes:tlsv1 alert internal error:ssl/record/rec_layer_s3.c:912:SSL alert number 80
    ] {
      library: 'SSL routines',
      reason: 'tlsv1 alert internal error',
      code: 'ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR'
    }
  }
}",prj_cbb8w1zwmFELiW3ZOg750m5C8eMV,,,,,,,
2026-04-13 03:12:57,1776049977457,portafolio-theta-seven-20.vercel.app/api/contact,POST,,500,g7988-1776049977457-91937034a064,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36 Edg/146.0.0.0",,production,main,MISS,function,/api/contact,portafolio-theta-seven-20.vercel.app,portafolio-theta-seven-20.vercel.app,dpl_3sjnRwCAvEguWMjtDBBoVHxRzkW9,7126,iad1,288,2048,,prj_cbb8w1zwmFELiW3ZOg750m5C8eMV,,,01KP2D771VS6D7Q8W709APEHVD,bT9fkcyLJPRQ,3,,
